data,bioma,t2m,t2m_max,rh2m,prectotcorr,ws2m,dias_sem_chuva,vegetacao,indice_risco,classe_risco
2024-01-01,Amazonia,20.8,27.7,76.8,0.0,2.4,1,0.92,47.7,Moderado
2024-01-02,Amazonia,27.0,31.1,73.2,0.0,3.4,2,0.92,58.6,Alto
2024-01-03,Amazonia,24.3,29.1,72.0,2.7,0.2,0,0.92,44.5,Moderado
2024-01-04,Amazonia,25.0,29.6,79.1,3.4,1.1,0,0.92,41.6,Moderado
2024-01-05,Amazonia,22.7,27.5,81.7,6.7,2.7,0,0.92,33.3,Moderado
2024-01-06,Amazonia,22.4,26.8,71.8,0.0,3.6,1,0.92,50.2,Moderado
2024-01-07,Amazonia,21.7,27.7,69.2,18.0,3.4,0,0.92,24.4,Baixo
2024-01-08,Amazonia,22.2,28.4,68.2,26.2,0.7,0,0.92,10.7,Baixo
2024-01-09,Amazonia,22.1,29.7,75.4,1.6,2.5,0,0.92,48.2,Moderado
2024-01-10,Amazonia,17.7,25.0,72.8,2.5,1.9,0,0.92,39.1,Moderado
2024-01-11,Amazonia,21.0,28.2,68.7,32.5,1.9,0,0.92,2.1,Baixo
2024-01-12,Amazonia,23.0,30.0,77.4,3.3,3.6,0,0.92,46.4,Moderado
2024-01-13,Amazonia,25.9,30.2,66.8,3.0,3.4,0,0.92,52.8,Moderado
2024-01-14,Amazonia,23.4,27.8,81.1,0.0,3.6,1,0.92,46.9,Moderado
2024-01-15,Amazonia,24.0,31.1,76.1,5.6,2.2,0,0.92,43.9,Moderado
2024-01-16,Amazonia,19.1,25.1,74.0,0.0,3.7,1,0.92,46.1,Moderado
2024-01-17,Amazonia,18.0,25.0,71.6,0.6,1.8,0,0.92,42.4,Moderado
2024-01-18,Amazonia,22.6,29.8,71.8,16.7,3.0,0,0.92,28.3,Baixo
2024-01-19,Amazonia,20.8,28.3,81.1,0.9,2.2,0,0.92,43.2,Moderado
2024-01-20,Amazonia,24.6,28.6,67.0,4.1,2.9,0,0.92,47.5,Moderado
2024-01-21,Amazonia,22.1,27.4,72.3,0.0,2.8,1,0.92,50.1,Moderado
2024-01-22,Amazonia,18.2,26.1,64.2,0.0,4.0,2,0.92,55.2,Alto
2024-01-23,Amazonia,19.4,24.6,74.2,0.3,2.7,0,0.92,41.8,Moderado
2024-01-24,Amazonia,23.0,27.6,86.6,31.8,2.9,0,0.92,0.0,Baixo
2024-01-25,Amazonia,18.7,25.7,78.1,9.8,4.0,0,0.92,29.0,Baixo
2024-01-26,Amazonia,24.8,29.2,67.2,0.0,4.8,1,0.92,58.5,Alto
2024-01-27,Amazonia,22.7,26.9,69.3,0.0,1.1,2,0.92,50.4,Moderado
2024-01-28,Amazonia,19.1,25.9,74.6,20.7,3.1,0,0.92,13.8,Baixo
2024-01-29,Amazonia,21.8,26.2,72.3,0.0,2.3,1,0.92,47.3,Moderado
2024-01-30,Amazonia,23.9,30.1,77.0,2.1,3.2,0,0.92,48.1,Moderado
2024-01-31,Amazonia,24.2,29.6,75.5,9.7,3.2,0,0.92,36.6,Moderado
2024-02-01,Amazonia,24.4,28.5,80.3,8.2,3.5,0,0.92,34.6,Moderado
2024-02-02,Amazonia,22.4,29.0,83.5,9.3,1.9,0,0.92,30.2,Moderado
2024-02-03,Amazonia,22.2,29.6,68.5,0.0,3.9,1,0.92,57.4,Alto
2024-02-04,Amazonia,22.8,28.3,69.8,2.1,2.6,0,0.92,48.1,Moderado
2024-02-05,Amazonia,21.4,28.6,75.9,6.4,3.5,0,0.92,39.9,Moderado
2024-02-06,Amazonia,21.1,28.0,67.1,0.2,1.6,0,0.92,50.7,Moderado
2024-02-07,Amazonia,23.5,27.6,76.5,0.0,3.3,1,0.92,48.7,Moderado
2024-02-08,Amazonia,20.0,27.9,76.5,0.0,1.8,2,0.92,49.1,Moderado
2024-02-09,Amazonia,22.5,27.1,66.5,0.0,3.5,3,0.92,56.8,Alto
2024-02-10,Amazonia,22.5,28.8,75.0,7.1,3.7,0,0.92,39.9,Moderado
2024-02-11,Amazonia,23.0,29.8,74.3,2.6,3.7,0,0.92,48.9,Moderado
2024-02-12,Amazonia,21.6,29.1,76.6,0.0,3.1,1,0.92,51.1,Moderado
2024-02-13,Amazonia,22.4,29.2,93.3,0.0,3.8,2,0.92,44.6,Moderado
2024-02-14,Amazonia,24.1,29.6,72.5,6.5,2.6,0,0.92,42.3,Moderado
2024-02-15,Amazonia,18.1,24.5,71.3,0.3,3.0,0,0.92,43.6,Moderado
