data,bioma,latitude,longitude,satelite,frp_mw,confianca_pct,indice_risco
2024-01-01,Amazonia,-2.0637,-59.376,METOP-C,28.0,74.0,47.7
2024-01-01,Amazonia,-8.2443,-64.6893,AQUA_M-T,14.4,60.0,47.7
2024-01-01,Amazonia,-9.2463,-61.9134,AQUA_M-T,37.5,66.0,47.7
2024-01-01,Amazonia,-8.2684,-68.8804,GOES-16,3.1,88.0,47.7
2024-01-01,Amazonia,-4.4987,-51.3972,NOAA-21,28.4,66.0,47.7
2024-01-01,Amazonia,-2.407,-55.0485,METOP-C,32.0,71.0,47.7
2024-01-01,Amazonia,-5.6837,-67.5163,NOAA-20,67.9,93.0,47.7
2024-01-01,Amazonia,-3.2665,-64.3592,NOAA-21,19.4,90.0,47.7
2024-01-01,Amazonia,-2.0664,-61.5534,NOAA-20,3.4,82.0,47.7
2024-01-01,Amazonia,-3.5004,-53.3149,AQUA_M-T,8.9,75.0,47.7
2024-01-01,Amazonia,-7.4899,-68.9245,NOAA-21,63.0,87.0,47.7
2024-01-01,Amazonia,-5.1309,-58.9412,NOAA-20,47.9,82.0,47.7
2024-01-01,Amazonia,-6.8894,-67.7693,NOAA-20,29.7,84.0,47.7
2024-01-01,Amazonia,-6.5027,-66.2217,NOAA-21,34.7,82.0,47.7
2024-01-01,Amazonia,-9.2479,-62.0614,NOAA-21,21.4,68.0,47.7
2024-01-01,Amazonia,-6.4651,-61.419,NOAA-21,6.3,92.0,47.7
2024-01-01,Amazonia,-2.4514,-62.0818,NOAA-21,30.9,60.0,47.7
2024-01-01,Amazonia,-3.6446,-63.7062,NOAA-21,16.1,87.0,47.7
2024-01-01,Amazonia,-6.4969,-57.235,METOP-C,53.0,95.0,47.7
2024-01-01,Amazonia,-7.2847,-69.5722,AQUA_M-T,70.5,73.0,47.7
2024-01-01,Amazonia,-8.3027,-69.4281,NOAA-20,58.5,82.0,47.7
2024-01-01,Cerrado,-14.0881,-51.1324,TERRA_M-T,42.5,64.0,64.9
2024-01-01,Cerrado,-11.8084,-46.854,METOP-C,22.4,81.0,64.9
2024-01-01,Cerrado,-10.6294,-59.0561,NOAA-20,5.9,100.0,64.9
2024-01-01,Cerrado,-14.1846,-50.7875,TERRA_M-T,3.6,59.0,64.9
2024-01-01,Cerrado,-11.0415,-58.8706,NOAA-20,7.0,82.0,64.9
2024-01-01,Cerrado,-12.7067,-58.8631,METOP-C,43.6,90.0,64.9
2024-01-01,Cerrado,-7.6482,-45.192,TERRA_M-T,52.9,74.0,64.9
2024-01-01,Cerrado,-16.7262,-56.7871,NOAA-20,8.2,83.0,64.9
2024-01-01,Cerrado,-18.5658,-53.1349,GOES-16,20.7,72.0,64.9
2024-01-01,Cerrado,-8.4508,-46.7569,NOAA-20,3.6,42.0,64.9
2024-01-01,Cerrado,-8.4461,-42.2644,METOP-C,39.8,90.0,64.9
2024-01-01,Cerrado,-12.8693,-56.7253,NOAA-20,12.7,71.0,64.9
2024-01-01,Cerrado,-16.8344,-53.8892,NOAA-20,5.7,77.0,64.9
2024-01-01,Cerrado,-8.0723,-44.7729,NOAA-20,14.3,75.0,64.9
2024-01-01,Cerrado,-15.5732,-52.6261,NOAA-20,7.9,75.0,64.9
2024-01-01,Cerrado,-18.7224,-45.3991,TERRA_M-T,27.1,78.0,64.9
2024-01-01,Cerrado,-17.9851,-51.0724,GOES-16,15.9,68.0,64.9
2024-01-01,Cerrado,-17.8896,-51.2815,METOP-C,0.2,61.0,64.9
2024-01-01,Cerrado,-10.4559,-43.795,NOAA-21,8.2,74.0,64.9
2024-01-01,Cerrado,-14.2938,-59.986,METOP-C,51.9,71.0,64.9
2024-01-01,Cerrado,-7.1365,-57.3957,METOP-C,76.3,82.0,64.9
2024-01-01,Cerrado,-5.287,-49.7254,TERRA_M-T,0.3,75.0,64.9
2024-01-01,Cerrado,-8.3575,-44.3882,GOES-16,73.5,75.0,64.9
2024-01-01,Cerrado,-12.89,-45.3131,TERRA_M-T,7.1,94.0,64.9
2024-01-01,Cerrado,-16.1466,-44.1231,NOAA-20,23.7,95.0,64.9
2024-01-01,Cerrado,-13.6823,-48.0251,AQUA_M-T,13.1,77.0,64.9
2024-01-01,Cerrado,-17.1391,-46.5075,METOP-C,5.3,81.0,64.9
2024-01-01,Cerrado,-13.9923,-42.9213,NOAA-21,1.4,98.0,64.9
2024-01-01,Cerrado,-6.3771,-47.269,METOP-C,10.4,81.0,64.9
2024-01-01,Cerrado,-11.8219,-42.9069,NOAA-20,188.2,68.0,64.9
2024-01-01,Cerrado,-10.9566,-43.82,NOAA-20,25.6,80.0,64.9
2024-01-01,Cerrado,-19.4286,-42.1908,NOAA-21,15.8,87.0,64.9
2024-01-01,Cerrado,-5.549,-53.0577,NOAA-21,16.4,88.0,64.9
2024-01-01,Cerrado,-11.374,-48.3006,NOAA-21,5.4,84.0,64.9
2024-01-01,Cerrado,-18.764,-58.9636,AQUA_M-T,66.7,90.0,64.9
2024-01-01,Cerrado,-15.4462,-49.2555,GOES-16,1.8,65.0,64.9
2024-01-01,Cerrado,-5.9278,-59.9697,AQUA_M-T,16.9,100.0,64.9
2024-01-01,Cerrado,-18.4453,-47.8017,METOP-C,101.0,59.0,64.9
2024-01-01,Cerrado,-9.0732,-50.5225,TERRA_M-T,8.7,74.0,64.9
2024-01-01,Cerrado,-18.6319,-58.611,AQUA_M-T,23.5,78.0,64.9
2024-01-01,Cerrado,-16.6,-59.0226,NOAA-20,11.2,100.0,64.9
2024-01-01,Cerrado,-9.9334,-57.7089,GOES-16,43.6,76.0,64.9
2024-01-01,Cerrado,-5.3704,-43.0368,METOP-C,65.2,57.0,64.9
2024-01-01,Cerrado,-17.6828,-43.0046,NOAA-20,35.7,76.0,64.9
2024-01-01,Pantanal,-18.706,-58.3194,METOP-C,7.8,93.0,63.3
2024-01-01,Pantanal,-16.308,-57.5592,NOAA-21,90.9,89.0,63.3
2024-01-01,Pantanal,-16.9765,-58.3137,METOP-C,22.8,85.0,63.3
2024-01-01,Pantanal,-19.4711,-55.0122,NOAA-20,33.4,68.0,63.3
2024-01-01,Pantanal,-17.7642,-57.0743,AQUA_M-T,18.5,77.0,63.3
2024-01-01,Pantanal,-20.9445,-57.3135,AQUA_M-T,58.6,88.0,63.3
2024-01-01,Pantanal,-19.4404,-56.683,NOAA-21,34.5,78.0,63.3
2024-01-01,Pantanal,-20.7991,-56.1813,GOES-16,29.5,82.0,63.3
2024-01-01,Pantanal,-18.2288,-55.5881,TERRA_M-T,4.1,45.0,63.3
2024-01-01,Pantanal,-19.7423,-56.5179,GOES-16,4.7,58.0,63.3
2024-01-01,Pantanal,-19.9676,-58.2362,NOAA-20,2.2,65.0,63.3
2024-01-01,Pantanal,-19.7715,-58.1512,AQUA_M-T,9.7,66.0,63.3
2024-01-01,Caatinga,-5.1265,-38.4535,NOAA-20,32.9,69.0,63.8
2024-01-01,Caatinga,-11.6247,-38.6073,AQUA_M-T,38.3,84.0,63.8
2024-01-01,Caatinga,-13.6982,-38.5785,TERRA_M-T,5.2,86.0,63.8
2024-01-01,Caatinga,-8.1412,-39.0265,TERRA_M-T,14.2,91.0,63.8
2024-01-01,Caatinga,-6.1422,-42.3409,AQUA_M-T,1.0,77.0,63.8
2024-01-01,Caatinga,-11.3702,-40.6578,TERRA_M-T,50.6,98.0,63.8
2024-01-01,Caatinga,-15.9414,-40.2694,METOP-C,22.6,66.0,63.8
2024-01-01,Mata Atlantica,-24.2029,-45.6847,TERRA_M-T,8.4,70.0,39.6
2024-01-01,Mata Atlantica,-25.7843,-44.6902,GOES-16,12.3,88.0,39.6
2024-01-01,Mata Atlantica,-7.1912,-43.7827,METOP-C,12.5,75.0,39.6
2024-01-01,Pampa,-29.2669,-51.6929,NOAA-21,45.1,72.0,29.6
2024-01-02,Amazonia,-2.4558,-66.266,AQUA_M-T,6.0,70.0,58.6
2024-01-02,Amazonia,-2.6832,-66.021,METOP-C,36.9,80.0,58.6
2024-01-02,Amazonia,-7.7869,-61.5397,GOES-16,22.1,90.0,58.6
2024-01-02,Amazonia,-3.9036,-50.1967,AQUA_M-T,233.5,93.0,58.6
2024-01-02,Amazonia,-6.69,-64.9518,AQUA_M-T,3.3,80.0,58.6
2024-01-02,Amazonia,-7.2635,-53.0979,TERRA_M-T,25.0,51.0,58.6
2024-01-02,Amazonia,-4.9302,-69.0332,METOP-C,55.9,64.0,58.6
2024-01-02,Amazonia,-5.3016,-69.5609,GOES-16,74.6,79.0,58.6
2024-01-02,Amazonia,-3.8613,-61.0062,GOES-16,25.8,89.0,58.6
2024-01-02,Amazonia,-4.4448,-67.9116,NOAA-21,16.4,49.0,58.6
2024-01-02,Amazonia,-4.9036,-55.6161,TERRA_M-T,27.9,76.0,58.6
2024-01-02,Amazonia,-4.4399,-50.6353,AQUA_M-T,4.2,73.0,58.6
2024-01-02,Amazonia,-5.3995,-58.861,TERRA_M-T,34.9,86.0,58.6
2024-01-02,Amazonia,-7.9865,-68.5893,METOP-C,40.2,85.0,58.6
2024-01-02,Amazonia,-7.9207,-59.6294,TERRA_M-T,21.0,61.0,58.6
2024-01-02,Amazonia,-7.3632,-52.0797,NOAA-21,53.7,75.0,58.6
2024-01-02,Amazonia,-4.8837,-67.4291,METOP-C,26.4,72.0,58.6
2024-01-02,Amazonia,-6.1015,-63.6952,TERRA_M-T,76.9,80.0,58.6
2024-01-02,Amazonia,-7.2405,-64.3006,GOES-16,13.4,80.0,58.6
2024-01-02,Amazonia,-6.0,-60.2687,METOP-C,54.0,53.0,58.6
2024-01-02,Amazonia,-5.2159,-60.5477,METOP-C,18.6,69.0,58.6
2024-01-02,Amazonia,-7.3121,-65.4707,AQUA_M-T,3.8,79.0,58.6
2024-01-02,Amazonia,-6.2735,-58.3741,TERRA_M-T,38.4,80.0,58.6
2024-01-02,Amazonia,-5.3012,-65.0617,METOP-C,102.6,73.0,58.6
2024-01-02,Amazonia,-2.7932,-63.7791,NOAA-20,10.1,94.0,58.6
2024-01-02,Amazonia,-7.9136,-58.8622,TERRA_M-T,42.0,71.0,58.6
2024-01-02,Amazonia,-8.4286,-52.7596,NOAA-21,13.8,75.0,58.6
2024-01-02,Amazonia,-2.3958,-50.9169,METOP-C,126.3,72.0,58.6
2024-01-02,Amazonia,-8.7525,-51.4923,METOP-C,22.2,84.0,58.6
2024-01-02,Amazonia,-3.5819,-55.5198,GOES-16,5.6,73.0,58.6
2024-01-02,Amazonia,-4.3996,-51.2324,METOP-C,27.6,76.0,58.6
2024-01-02,Amazonia,-2.0539,-56.4315,AQUA_M-T,35.5,67.0,58.6
2024-01-02,Amazonia,-7.1134,-67.0828,NOAA-21,84.1,68.0,58.6
2024-01-02,Amazonia,-3.3474,-66.3211,AQUA_M-T,17.0,78.0,58.6
2024-01-02,Amazonia,-8.438,-62.4855,GOES-16,9.0,74.0,58.6
2024-01-02,Amazonia,-5.8373,-69.463,TERRA_M-T,33.4,86.0,58.6
2024-01-02,Amazonia,-3.7381,-53.9402,TERRA_M-T,57.4,50.0,58.6
2024-01-02,Amazonia,-6.9642,-67.8529,TERRA_M-T,32.4,70.0,58.6
2024-01-02,Amazonia,-7.3923,-64.7537,AQUA_M-T,6.8,68.0,58.6
2024-01-02,Amazonia,-8.8643,-55.1678,NOAA-21,32.1,68.0,58.6
2024-01-02,Amazonia,-2.0473,-67.4946,GOES-16,25.8,68.0,58.6
2024-01-02,Cerrado,-7.7667,-53.7772,METOP-C,15.7,70.0,67.1
2024-01-02,Cerrado,-5.576,-49.0203,AQUA_M-T,24.1,76.0,67.1
2024-01-02,Cerrado,-16.1829,-54.1508,TERRA_M-T,24.5,73.0,67.1
2024-01-02,Cerrado,-5.4539,-56.2834,METOP-C,5.6,88.0,67.1
2024-01-02,Cerrado,-5.9739,-51.2078,METOP-C,25.4,78.0,67.1
2024-01-02,Cerrado,-15.0456,-46.756,AQUA_M-T,0.3,63.0,67.1
2024-01-02,Cerrado,-13.016,-52.8319,GOES-16,12.6,75.0,67.1
2024-01-02,Cerrado,-18.7598,-47.2784,GOES-16,17.3,56.0,67.1
2024-01-02,Cerrado,-9.8124,-58.4638,NOAA-20,21.7,82.0,67.1
2024-01-02,Cerrado,-19.1757,-50.3445,NOAA-21,1.5,77.0,67.1
2024-01-02,Cerrado,-14.3241,-58.7476,NOAA-20,136.4,85.0,67.1
2024-01-02,Cerrado,-19.2554,-43.2124,TERRA_M-T,14.6,71.0,67.1
2024-01-02,Cerrado,-14.8345,-43.1028,AQUA_M-T,5.5,92.0,67.1
2024-01-02,Cerrado,-8.2341,-56.1336,METOP-C,97.1,84.0,67.1
2024-01-02,Cerrado,-16.8841,-43.2425,TERRA_M-T,87.8,98.0,67.1
2024-01-02,Cerrado,-13.2438,-48.7648,GOES-16,67.4,100.0,67.1
2024-01-02,Cerrado,-11.8967,-59.1381,AQUA_M-T,52.5,72.0,67.1
2024-01-02,Cerrado,-8.6542,-52.7572,AQUA_M-T,22.7,65.0,67.1
2024-01-02,Cerrado,-7.4948,-54.7347,AQUA_M-T,6.4,62.0,67.1
2024-01-02,Cerrado,-11.4275,-45.1347,GOES-16,16.9,88.0,67.1
2024-01-02,Cerrado,-17.9303,-50.2063,AQUA_M-T,37.0,57.0,67.1
2024-01-02,Cerrado,-15.9726,-52.8421,TERRA_M-T,89.8,62.0,67.1
2024-01-02,Cerrado,-13.2677,-45.3683,NOAA-20,13.9,74.0,67.1
2024-01-02,Cerrado,-14.9536,-49.9886,GOES-16,32.6,86.0,67.1
2024-01-02,Cerrado,-9.6941,-59.9828,METOP-C,12.0,92.0,67.1
2024-01-02,Cerrado,-19.8054,-54.8587,AQUA_M-T,4.8,79.0,67.1
2024-01-02,Cerrado,-18.1391,-56.6431,NOAA-21,0.1,77.0,67.1
2024-01-02,Cerrado,-16.2412,-42.7381,TERRA_M-T,6.2,66.0,67.1
2024-01-02,Cerrado,-5.9005,-59.1013,AQUA_M-T,32.8,87.0,67.1
2024-01-02,Cerrado,-5.2825,-55.327,TERRA_M-T,22.9,65.0,67.1
2024-01-02,Cerrado,-5.0501,-58.9342,GOES-16,88.1,81.0,67.1
2024-01-02,Cerrado,-16.7957,-51.8007,GOES-16,2.4,79.0,67.1
2024-01-02,Cerrado,-9.5897,-49.4624,GOES-16,18.2,65.0,67.1
2024-01-02,Cerrado,-16.3794,-47.7701,NOAA-21,34.6,71.0,67.1
2024-01-02,Cerrado,-17.0677,-50.5731,GOES-16,16.7,51.0,67.1
2024-01-02,Cerrado,-7.1259,-49.2426,TERRA_M-T,56.7,65.0,67.1
2024-01-02,Cerrado,-5.1037,-48.346,NOAA-20,3.0,93.0,67.1
2024-01-02,Cerrado,-11.145,-49.7899,AQUA_M-T,23.4,87.0,67.1
2024-01-02,Cerrado,-19.4443,-58.9961,GOES-16,56.0,77.0,67.1
2024-01-02,Cerrado,-16.4588,-52.7972,NOAA-20,74.7,86.0,67.1
2024-01-02,Cerrado,-5.9241,-42.8238,METOP-C,10.5,73.0,67.1
2024-01-02,Cerrado,-19.0632,-54.7921,GOES-16,11.7,66.0,67.1
2024-01-02,Cerrado,-12.9846,-54.6006,GOES-16,43.2,92.0,67.1
2024-01-02,Cerrado,-10.7069,-51.6329,AQUA_M-T,17.5,54.0,67.1
2024-01-02,Cerrado,-19.4476,-59.243,NOAA-21,72.1,70.0,67.1
2024-01-02,Cerrado,-11.3458,-48.5276,AQUA_M-T,16.9,82.0,67.1
